
# Curve 0 of 1, 100 points
# Curve title: "fx(t),fy(t)"
# x y type
 2  6  i
 1.88042  5.79961  i
 1.76411  5.60249  i
 1.65106  5.40863  i
 1.54127  5.21804  i
 1.43475  5.03071  i
 1.3315  4.84665  i
 1.23151  4.66585  i
 1.13478  4.48832  i
 1.04132  4.31405  i
 0.951127  4.14305  i
 0.864198  3.97531  i
 0.780533  3.81084  i
 0.700133  3.64963  i
 0.622998  3.49168  i
 0.549128  3.33701  i
 0.478523  3.18559  i
 0.411183  3.03745  i
 0.347107  2.89256  i
 0.286297  2.75094  i
 0.228752  2.61259  i
 0.174472  2.4775  i
 0.123457  2.34568  i
 0.0757066  2.21712  i
 0.0312213  2.09183  i
-0.00999898  1.9698  i
-0.0479543  1.85104  i
-0.0826446  1.73554  i
-0.11407  1.6233  i
-0.14223  1.51434  i
-0.167126  1.40863  i
-0.188756  1.30619  i
-0.207122  1.20702  i
-0.222222  1.11111  i
-0.234058  1.01847  i
-0.242628  0.929089  i
-0.247934  0.842975  i
-0.249974  0.760127  i
-0.24875  0.680543  i
-0.244261  0.604224  i
-0.236506  0.53117  i
-0.225487  0.461381  i
-0.211203  0.394858  i
-0.193654  0.331599  i
-0.17284  0.271605  i
-0.14876  0.214876  i
-0.121416  0.161412  i
-0.0908071  0.111213  i
-0.056933  0.0642792  i
-0.0197939  0.0206101  i
 0.0206101 -0.0197939  i
 0.0642792 -0.056933  i
 0.111213 -0.0908071  i
 0.161412 -0.121416  i
 0.214876 -0.14876  i
 0.271605 -0.17284  i
 0.331599 -0.193654  i
 0.394858 -0.211203  i
 0.461381 -0.225487  i
 0.53117 -0.236506  i
 0.604224 -0.244261  i
 0.680543 -0.24875  i
 0.760127 -0.249974  i
 0.842975 -0.247934  i
 0.929089 -0.242628  i
 1.01847 -0.234058  i
 1.11111 -0.222222  i
 1.20702 -0.207122  i
 1.30619 -0.188756  i
 1.40863 -0.167126  i
 1.51434 -0.14223  i
 1.6233 -0.11407  i
 1.73554 -0.0826446  i
 1.85104 -0.0479543  i
 1.9698 -0.00999898  i
 2.09183  0.0312213  i
 2.21712  0.0757066  i
 2.34568  0.123457  i
 2.4775  0.174472  i
 2.61259  0.228752  i
 2.75094  0.286297  i
 2.89256  0.347107  i
 3.03745  0.411183  i
 3.18559  0.478523  i
 3.33701  0.549128  i
 3.49168  0.622998  i
 3.64963  0.700133  i
 3.81084  0.780533  i
 3.97531  0.864198  i
 4.14305  0.951127  i
 4.31405  1.04132  i
 4.48832  1.13478  i
 4.66585  1.23151  i
 4.84665  1.3315  i
 5.03071  1.43475  i
 5.21804  1.54127  i
 5.40863  1.65106  i
 5.60249  1.76411  i
 5.79961  1.88042  i
 6  2  i

