
# Curve 0 of 1, 100 points
# Curve title: "fx(t),fy(t)"
# x y type
 9 -15  i
 8.64004 -13.6389  i
 8.28742 -12.3426  i
 7.94215 -11.1097  i
 7.60422 -9.93892  i
 7.27365 -8.82892  i
 6.95041 -7.77836  i
 6.63453 -6.7859  i
 6.32599 -5.85021  i
 6.02479 -4.96995  i
 5.73095 -4.14378  i
 5.44444 -3.37037  i
 5.16529 -2.64838  i
 4.89348 -1.97649  i
 4.62902 -1.35334  i
 4.3719 -0.777611  i
 4.12213 -0.247962  i
 3.87971  0.236942  i
 3.64463  0.678437  i
 3.4169  1.07786  i
 3.19651  1.43654  i
 2.98347  1.75582  i
 2.77778  2.03704  i
 2.57943  2.28152  i
 2.38843  2.49061  i
 2.20478  2.66564  i
 2.02847  2.80794  i
 1.8595  2.91886  i
 1.69789  2.99972  i
 1.54362  3.05187  i
 1.39669  3.07663  i
 1.25712  3.07535  i
 1.12489  3.04936  i
 1  3  i
 0.882461  2.9286  i
 0.772268  2.83649  i
 0.669421  2.72502  i
 0.573921  2.59551  i
 0.485767  2.44931  i
 0.404959  2.28775  i
 0.331497  2.11217  i
 0.265381  1.92389  i
 0.206612  1.72427  i
 0.155188  1.51462  i
 0.111111  1.2963  i
 0.0743802  1.07062  i
 0.0449954  0.83894  i
 0.0229568  0.602582  i
 0.00826446  0.362885  i
 0.000918274  0.121184  i
 0.000918274 -0.121184  i
 0.00826446 -0.362885  i
 0.0229568 -0.602582  i
 0.0449954 -0.83894  i
 0.0743802 -1.07062  i
 0.111111 -1.2963  i
 0.155188 -1.51462  i
 0.206612 -1.72427  i
 0.265381 -1.92389  i
 0.331497 -2.11217  i
 0.404959 -2.28775  i
 0.485767 -2.44931  i
 0.573921 -2.59551  i
 0.669421 -2.72502  i
 0.772268 -2.83649  i
 0.882461 -2.9286  i
 1 -3  i
 1.12489 -3.04936  i
 1.25712 -3.07535  i
 1.39669 -3.07663  i
 1.54362 -3.05187  i
 1.69789 -2.99972  i
 1.8595 -2.91886  i
 2.02847 -2.80794  i
 2.20478 -2.66564  i
 2.38843 -2.49061  i
 2.57943 -2.28152  i
 2.77778 -2.03704  i
 2.98347 -1.75582  i
 3.19651 -1.43654  i
 3.4169 -1.07786  i
 3.64463 -0.678437  i
 3.87971 -0.236942  i
 4.12213  0.247962  i
 4.3719  0.777611  i
 4.62902  1.35334  i
 4.89348  1.97649  i
 5.16529  2.64838  i
 5.44444  3.37037  i
 5.73095  4.14378  i
 6.02479  4.96995  i
 6.32599  5.85021  i
 6.63453  6.7859  i
 6.95041  7.77836  i
 7.27365  8.82892  i
 7.60422  9.93892  i
 7.94215  11.1097  i
 8.28742  12.3426  i
 8.64004  13.6389  i
 9  15  i

